,VA (V),i (A) 2,i^2 (2),B (T) 2,i (A) 3,i^2 (3),B (T) 3,i (A) 4,i^2 (4),B (T) 4,i (A) 5,i^2 (5),B (T) 5
,"128,6","2,782","7,739524","0,001925185007","1,686","2,842596","0,001166736852","1,506","2,268036","0,001042174198","0,922","0,850084","0,0006380375903"
,"180,3","3,422","11,710084","0,00236807444","2,173","4,721929","0,00150374803","1,55","2,4025","0,001072622847","1,228","1,507984","0,0008497941007"
,"250,7","4,012","16,096144","0,002776363137","2,611","6,817321","0,001806850486","1,89","3,5721","0,001307907859","1,503","2,259009","0,001040098154"
,"289,6","4,307","18,550249","0,002980507485","2,794","7,806436","0,001933489183","2,049","4,198401","0,001417938202","1,631","2,660161","0,001128676041"
,"239,6","3,965","15,721225","0,002743838444","2,536","6,431296","0,001754949381","1,832","3,356224","0,001267771004","1,464","2,143296","0,001013109579"
,"216,7","3,783","14,311089","0,002617891761","2,396","5,740816","0,001658067317","1,749","3,059001","0,00121033378","1,377","1,896129","0,0009529042969"
,"196,2","3,549","12,595401","0,002455960312","2,261","5,112121","0,001564645327","1,622","2,630884","0,001122447908","1,289","1,661521","0,0008920069998"
,"156,1","3,161","9,991921","0,002187458593","1,961","3,845521","0,001357040905","1,404","1,971216","0,0009715886949","1,113","1,238769","0,0007702124056"
,"143,3","3,008","9,048064","0,002081580338","1,856","3,444736","0,001284379357","1,308","1,710864","0,0009051552799","1,031","1,062961","0,0007134671969"
,"108,2","2,544","6,471936","0,001760485498","1,362","1,855044","0,0009425240758","0,882","0,777924","0,0006103570007","0,671","0,450241","0,0004643418905"
,"154,2","3,129","9,790641","0,002165314121","1,391","1,934881","0,0009625925033","1,38","1,9044","0,0009549803412","1,137","1,292769","0,0007868207593"
,122,"2,741","7,513081","0,001896812402","1,624","2,637376","0,001123831938","1,125","1,265625","0,0007785165825","0,875","0,765625","0,0006055128975"